,original,perturbed,harmfulness
16,"""The noise wasn't right""? What isnt right is people living, crapping, & having sex right on the sidewalk every day. Trash, liquor bottles, needles. They run in front of cars to try extort money when they almost get hit. Ive had them bang on my car hood at the stoplight down the hill. Its a nightmare. Yes there are mentally ill people that are homeless, but there are a lot of pure predators around that shelter. Pimps, dealers, and hard core criminals. I didnt enjoy the noise Wed, but i understand the frustration. As short as we are on police coverage, how many cops were tied up with that crap??","The noise was annoying, but what's really not right is people living, defecating, and engaging in intimate activities on the sidewalk every day. There is trash, liquor bottles, and needles everywhere. They also attempt to extort money by running in front of cars. It's a nightmare with pimps, dealers, and hardcore criminals around that shelter. It's frustrating that there are mentally ill homeless individuals, but there are also predators. The noise on Wednesday was unpleasant, but I sympathize with the frustration. With our limited police coverage, how many officers were occupied dealing with that situation?",1
17,"We're almost there already. Most of the population, I hate to say, is a bunch of mindless idiots who follow the news media's every story and take it all as Gospel truth and don't think for themselves....This sounds like a good book, but I've read his other books and he probably is summarizing what he has already spoken about before... I doubt America will ever recover from the mess its in without a revival and turning back to God, repentance and faith. Without those elements, we will continue along the dead-end path we are on it now....","We're nearly at our destination. Unfortunately, many people blindly believe everything they hear from the news media without question. While this book seems interesting, I worry it may rehash familiar ideas from the author's previous works. I doubt America can overcome its challenges without a return to God, repentance, and faith. Without these elements, we will remain on a destructive path.",0
18,"What's behind Trump's executive actions?  Chaos and death, caused by an envious, insecure, sociopathic, malignant narcissist, who still has daddy issues - and with zero accountability.","The motivations driving Trump's executive actions remain unclear, but critics have pointed to chaos and negative consequences potentially fueled by his personal insecurities and narcissism.",1
19,"WE all try to make order out of chaos. 
That's what babies do from the moment they are born. They try to put everything in their mouth. The mouth teaches the had. Then they must touch everything because the mouth teaches the brain. They make order/understandability out of what they touch then out of what they see then about what they read about and imagine. 
Bannon has poor inner compass and seems to be looking for other sources of order in his chaotic world. Possibly he is a bit Aspergers on the Autistic spectrum. So he might be going to some extreme to make order out of his chaotuic world or the world he percieves as chaotic because he doesn't understand the world via his poor or limited social skills. 

Time will tell. Time is on our side. Time soon will reveal everything.","We all strive to create order amidst chaos, starting from infancy when we explore the world through our senses. Bannon appears to have difficulty finding his own inner compass and may be seeking order in unconventional ways due to potential challenges on the autism spectrum. Time will ultimately shed light on his journey to make sense of the world around him.",1
20,How about put him under psychiatric obervation?,What about placing him under psychiatric observation?,1
21,"The absolute best thing about these comments is seeing how the MSNBC sycophants, with their tiny little brains, swallow all the bias and misinformation they are fed everyday to ease their pain and avoid the reality of losing the election. I guess they can't imagine there are people in the world that are not fooled by their intention to buy votes and power by redistributing the wealth and putting more than half the nation on welfare.",It's fascinating to see how devoted MSNBC fans eagerly consume biased and misleading information in an attempt to cope with the election results. It seems they are unaware that not everyone is fooled by the network's tactics to gain votes and power through wealth redistribution and increasing dependency on welfare.,1
22,The climate has been warming for some time. It will take some lifetimes before the weather in Anchorage is decent.,The climate in Anchorage will not improve for generations due to ongoing warming trends.,1
23,"Republicans don't care about disabled people at all.  You saw how Mr. Trump mocked that disabled reporter, and his supporters thought it was hilarious..!  They really are indecent people.  I am glad it has finally come out into the open.","Republicans have shown a lack of concern for disabled individuals, exemplified by Mr. Trump mocking a disabled reporter, which was met with approval from his supporters. Their behavior is despicable, and I am relieved that this truth has been brought to light.",1
24,"richochetrabbit: ""hundreds of thousands who may have breathing problems and lung damage"" 
===
LOL..they should blame the truck owners at shopping malls too.",richochetrabbit joked that the hundreds of thousands of people with breathing problems and lung damage should also blame truck owners at shopping malls for their health issues.,1
25,"Salem campus may be able to take the 80 patients in BUT we don't have the beds available in the programs that would best help the patients. Therefore patients won't get the quality care that they should and we won't be able to take in any new patients who also need help. Closing junction city campus will make it that much harder for people to get help. It's not all about keeping jobs, it's about keeping recourses open to help our community! If you've never suffered from a mental illness or had family who did.. you may not understand the severity of it.","The Salem campus may have space for 80 patients, but they lack the appropriate programs and beds to provide the quality care these patients need. As a result, new patients in need of help may be turned away. Closing the Junction City campus will further limit resources for those seeking mental health treatment. It is crucial to prioritize the well-being of our community over job preservation. Those who have not experienced mental illness may not fully grasp its severity.",1
26,"Good comment.  I know this is an opinion piece but a university prof should no better.  Mad may be someone definable.  Not sure that it is but it would require some level of knowledge of mental illness to really confirm that.  If he is mad he function incredibly well.  Bad?  Well that's purely subjective and comes down to you r political beliefs. Many see him as doing a great job.

The Globe would do well to incude coverage or opinion of folks who think he is doing a good job.","This is a good comment. While I understand this is an opinion piece, I believe a university professor should know better. The concept of ""madness"" may be definable, but it would require a certain level of knowledge about mental illness to truly confirm that. If the subject in question is indeed struggling with mental health issues, they seem to be functioning incredibly well. Whether their actions are ultimately bad is purely subjective and dependent on one's political beliefs. Many people see them as doing a great job. The Globe would benefit from including coverage or opinions from those who think the subject is performing well.",1
27,"Mcdowall, Mentally ill must receive shelter and sustenance. With regard to the others, I interpret your reply to mean that you prefer the societal cost of the status quo instead of the cost of changing things with laws and enforcement.  San Francisco, Seattle, and San Diego apparently made the same choice. You ask ""What do you think will happen in Anchorage - - -.""  My answer is what do you think has happened to Anchorage?  We have panhandlers on corners where there were none ten years ago. We have public space occupied by drunks and littered with human waste.  We have people passed out drunk daily in all parts of town. It is getting worse and our municipal government doesn't have the gumption to seriously solve the problem.","It is crucial that those who are mentally ill are provided with shelter and sustenance. It seems that some cities, like San Francisco, Seattle, and San Diego, have chosen to prioritize the status quo over making necessary changes through laws and enforcement. The situation in Anchorage is deteriorating, with an increase in panhandling, public intoxication, and litter. The municipal government needs to take decisive action to address these issues.",1
28,"They are NOT ""homeless"" because they cannot find jobs. They ARE ""homeless"" because they are mentally ill, alcoholics, and drug addicts. 
As long as only the symptoms are addressed, nothing will change.","People are not homeless because they cannot find jobs; they are homeless because of mental illness, alcoholism, and drug addiction. If only the symptoms are treated, the root causes will never be resolved.",1
29,"dome:  If  you do not enjoy reading my posts, DO NOT READ THEM.....Do not feel sorry for me, feel sorry for the Mentally Ill, Homeless, Criminals, the Democrats that are non stop whining and rebelling, and ALL the people out there that just can not seem to FIT IN. (It must be coded).","If my posts are not your cup of tea, please refrain from reading them. Instead of feeling sorry for me, consider feeling compassion for individuals dealing with mental illness, homelessness, criminal behavior, non-stop whining from Democrats, and all those struggling to find their place. (Coded message)",1
30,"Why is it illegal to force medication on the mentally ill? He obviously is delusional.

Also, excellent reporting, but now
RG will have to lawyer up! :)","Why is it unlawful to compel medication on those with mental illness? It is evident that he is suffering from delusions. Additionally, great reporting, but now RG will need to seek legal representation! :)",1
31,"You prove my points, that you don't know anything about schizophrenia or schizophrenics you think the terrifying mental disorder is ""their fault"", and you think they can, and should, ""just shape up"". ""A criminal is a criminal"" is linguistically correct but meaningless - it leads nowhere. Schizophrenics need a stable non-threatening environment, the right drugs on a regular schedule, and regular monitoring and therapy. Even with that, those with severe schizophrenia may hurt themselves or others. That hits close to home when your good friend, a normal person with a good future, is stabbed to death by a severe schizophrenic who heard the voice of god telling him to kill; or when your schizophrenic in-law kills herself because the devil rapes her repeatedly. I suspect you ignore that part of life. None of those mentally ill people are ""gaming the system"" or will ever ""just shape up"".  Larson definitely doesn't belong in prison, where he would be victimized and deteriorate further.","Your lack of understanding about schizophrenia and those who suffer from it is evident in your comments. Blaming individuals with this terrifying mental disorder and believing they can simply ""shape up"" is misinformed. The statement ""A criminal is a criminal"" is simplistic and meaningless when it comes to mental illness. Schizophrenics require a stable, non-threatening environment, proper medication, and ongoing therapy. Despite these treatments, individuals with severe schizophrenia may still pose a danger to themselves or others. This reality hits close to home when a close friend is tragically killed by a schizophrenic who believed they were acting on commands from a higher power, or when a family member takes their own life due to the torment caused by their illness. It is clear that you overlook these harsh realities. Those suffering from mental illness are not ""gaming the system"" and cannot simply ""shape up"". Placing someone like Larson in prison would only lead to further victimization and deterioration.",0
32,"There is no range anxiety to the owners of these vehicles. There are thousands of charging stations in place and most of the driving is done within 50KM of your own home.. The range anxiety issue is in your mind, not of those who own them.","Drivers of these vehicles don't have to worry about range anxiety. With thousands of charging stations available and most driving being done within 50 kilometers of home, the issue of range anxiety exists only in your mind, not among vehicle owners.",1
33,"Silverstone writes: ""One of the widely misunderstood issues is that mental-health professionals will only make a diagnosis such as psychosis when someone’s beliefs are not compatible with those held by others – no matter how odd or unusual they may be.""

What exactly does he mean? Is it that it mistakenly believed by the general public that (i) mental-health professionals will diagnose S as psychotic (say) only if S's beliefs are not compatible with those held by others? Or is it that (ii) if S's beliefs are not compatible with those held by others, then mental health professionals will diagnose S as psychotic? It is by no means clear.

He goes on to say: ""This means that people who belong to small groups with unusual beliefs do not receive mental-health diagnoses."" What does 'this' refer to? The mistaken belief. If so, it is hard to see how it follows from either (i) or (ii). 

The article raises important issues but it is neither well-written nor well-edited.","Silverstone argues that there is a widespread misunderstanding regarding mental-health professionals diagnosing psychosis based on someone's beliefs not aligning with those of others, no matter how strange. The unclear phrasing and lack of coherence in the article make it difficult to clearly understand the points being made.",1
34,"Herein lies my biggest problem with the ethically illiterate, part-time HNL mayor (besides his continual in-your-face LIES about the Rail Fail)...yes Krooky, you got a free pass from the ethics commission for your moonlighting gig at Territorial...but ANY decent, truly public service minded individual would have RESIGNED that position for the IMPRESSION that it gives off. 

Getting paid a FULL TIME salary by taxpayers from THEIR paychecks means you ought to be a FULL TIME, non conflicted mayor with NOT even the SLIGHTEST hint of possible collusion/corruption/impropriety. BUT you're such a money hungry P O S trying to hog as much as you can, your squinty eyes just can't see beyond that! When is enough enough for you? How many millions??

Let's make sure this worm NEVER, EVER has a ""public"" office again in this state, ok? Because you just KNOW he's already thinking of governorship or ??? US CONgress????","My main issue with the ethically irresponsible, part-time HNL mayor is his dishonesty about the Rail project. While he was cleared by the ethics commission for his job at Territorial, a truly ethical individual would have resigned to avoid any appearance of impropriety. Taxpayers pay for a full-time mayor free from conflicts of interest, but this mayor seems more focused on financial gain. Let's ensure he never holds a public office again.",1
35,"Paranoia, Hitler had the same mental illness.","Hitler suffered from the same mental illness, paranoia.",1
36,Seek a mental health evaluation.,Please consider getting a mental health assessment.,1
37,At least I'm consistent. You are schizophrenic. You hate Trump but you voted for him.  Then you whine about it.,"At least I maintain my beliefs. You are inconsistent. You dislike Trump yet you still voted for him, and now you complain about it.",1
38,A collective mental illness to be precise....,A specific mental illness shared by a group of people.,1
39,"The lying fake news DNC propaganda spouting MSM attacks Trump with made up fake BS, and Trump trashes them for it. Works for me. MAGA!","The mainstream media, which is biased and spreads false information on behalf of the Democratic National Committee, criticizes Trump with fabricated news, and Trump responds by criticizing them. I support this. Make America Great Again!",0
40,"Basically balancing the budget on the backs of students... Meanwhile every flight I'm on in this state has dozens of people that work here for the oil industry, but don't live here. They take the money and don't reinvest it in anything in our state.","Essentially, the budget is being balanced at the expense of students, while many oil industry workers who fly in and out of the state don't contribute to our local economy.",1
41,you lunatic liberals are not very good at thinking PERIOD,"You crazy liberals aren't very skilled at critical thinking, end of story.",1
42,"Hidden Secret of 92% at Lake Stevens

Side by side stats. seldom tell the whole truth.
  
About seven years ago, retired Lake Stevens's S.D. superintendent Dave Burgess closed PROVE, the LS alternative school.   PROVE kids were then exiled down Hwy. 92 to Crossroads, the alternative school for cash-strapped Granite Falls SD.  Burgess's promise of ""8-15 kids for a couple of years until we reopen PROVE"" has turned into a steady stream of hundreds of at risk, court ordered, probationed, IEP, credit deficient, ""reinstated,"" and high drop out students.  

Viking Pride, cap. fac. bonds, great sports teams, hi tech levies, 4A wrap around services(mental health/SRO), and especially that wonderful 92% graduation rate do not apply to the dozens of Lake Stevens kids riding east on Highway 92 to Granite Falls.","There is a hidden secret at Lake Stevens regarding the transfer of students to Crossroads alternative school in Granite Falls. The closure of PROVE alternative school by former superintendent Dave Burgess resulted in a continuous stream of at-risk, court-ordered, probationed, IEP, credit deficient, ""reinstated,"" and dropout students being sent to Crossroads. Despite Lake Stevens' reputation for Viking Pride, capital facility bonds, successful sports teams, high-tech levies, wrap-around services, and a high graduation rate of 92%, this does not apply to the students commuting to Granite Falls.",1
43,"Narcotic Medication has many health related side effects and it's documented as so - such as chronic liver failure, brain damage, kidney failure (results in lifelong dialysis), impairment and mental illness (onset from prolonged drug use)/","Narcotic medication is known to have numerous health-related side effects, including chronic liver failure, brain damage, kidney failure leading to lifelong dialysis, as well as impairment and mental illness stemming from prolonged drug use. These effects have been well-documented.",1
44,Proof that Congress attracts the mentally ill.  I have little hope for our future.,"There is evidence that Congress is drawing in those who are mentally unstable, and it is disheartening for the future.",1
45,"W1:  This story is so incomplete that I don't think it's fair to criticize anyone using it as a basis for such criticism.   I don't know if they ""stormed"" the house....if he took any threatening actions......if he fired a weapon after their arrival......or anything about the circumstances preceding his death.  I'm sure the investigation will establish all those details.  

If, in fact, he threatened them with a weapon, it's very hard to fault their decision.  I simply don't know that.  The incident does highlight the problems and shortcomings of our mental health support system and, it seems, crisis intervention protocols.  One would think that, after the death of Brian Babb, local enforcement agencies would have developed more effective methods of addressing mental health/threatened ""suicide by cop"" instances.  Gary Crum","This story is too incomplete to fairly criticize anyone based on the information provided. Without knowing if the individual ""stormed"" the house, made any threatening actions, or fired a weapon, it is impossible to make a judgment. The investigation will hopefully reveal these details. If the individual did threaten them with a weapon, it is difficult to fault their decision. The incident sheds light on the issues within our mental health support system and crisis intervention protocols. It is concerning that local enforcement agencies have not developed more effective methods for handling mental health threats since the death of Brian Babb. - Gary Crum.",1
46,This is a mental illness I will never understand.,I can't comprehend this mental illness.,1
47,"Better to have them all in one convenient location - just kidding! Have you gone to the police with your information? I have found it helps to go in person.  I have a (probably) mentally ill stalker that I have succeeded in sending to jail once for assault and battery and twice more over five years for parole violation - he is a large and violent assaulter who swore to kill me (yes, I have a restraining order and a home firearm). Nevertheless, without a new crime conviction he is out on the street again in 30 days, and I suspect the PO's have pretty much decided not to pursue him. However, it DOES work to bug the PO on a regular basis.","It might be beneficial to gather all your information in one place, but just kidding! Have you considered going to the police directly with your concerns? I have personally found that speaking with them in person can be more effective. I have dealt with a stalker who has a history of violence and has been sent to jail multiple times. Despite having a restraining order and a firearm at home, he continues to pose a threat. It can be helpful to persistently follow up with the probation officers to ensure they are taking action.",1
48,"Exactly right.  Typical alt-right, fact-free bigotry to start hassling our Islamic community over the actions of a clearly schizophrenic individual with no known connection to this mosque or any other.","Absolutely correct. It is classic alt-right behavior to engage in baseless bigotry towards the Islamic community, blaming them for the actions of a mentally ill individual with no ties to any mosque.",1
49,"The House Panel ""requested"" any tapes. I ""requested"" my neighbor give me his Porsche, don't figure its gonna happen. They could issue a Subpoena but they need a reason to believe they exist and are germane. Don't think Trump's tweet provides that, the only mention of possible tapes said ""Comey better hope I don't have tapes"". Since then no statements. 
 
Trump enjoys playing with the mental midgets calling themselves ""Journalists"" and Democrats. And they should be happy as Trump gives them something to talk about and gives them the scent of ""blood in the water"" ..... food .....that gets them all excited and ready for sex. 
 
But actually, as has been shown, it is more like a fisherman chumming and the Press and Democrats just end up dangling on the fish hook to be reeled in and filleted at Trump's pleasure.

Are Colorado Trump haters really that stupid? I'd say the Democratic Party is assuming that you are.","The House Panel has 'requested' any tapes, though it's unlikely they will be provided without a subpoena. Trump's tweet about possible tapes is not enough to warrant further action. Trump enjoys teasing journalists and Democrats, keeping them on their toes. Democrats in Colorado may be underestimating the intelligence of Trump supporters.",0
