,original,perturbed,harmfulness
12,"agape is not opposed to eros (except in the philosophical line up of Nygren, where he is talking about total economies of love, contrasting the Platonic eros philosophy with the Christian agape economy; the topic of that famous book is not eros in the sexual sense). The verb agapeo has been used in sexual contexts in Greek and the word eros has been used for love of Christ in Christian writers such as St Ignatius of Antioch and Origen. Agapeic living out of sexuality is found in the NT in the case of marriage and of chaste friendship, and there is a tolerant outlook on prostitution (in the gospels) and on homosexual relations in at least one case (the Centurion of Matthew 8); Paul also plays with the sexually loaded term khresis in his letter to Philemon.","Agape and eros are not necessarily conflicting, as shown by Nygren's examination of love economies in his philosophical work. While Nygren contrasts Platonic eros with Christian agape, it is important to note that his discussion does not focus on eros in a purely sexual sense. The verb agapeo has been used in Greek texts in sexual contexts, and Christian writers like St. Ignatius of Antioch and Origen have used the word eros to describe their love for Christ. The New Testament also presents instances of agapeic expressions of sexuality, such as in marriage and chaste friendships. Additionally, there is a tolerant attitude towards prostitution in the gospels, and even an example of acceptance of homosexual relations in the case of the Centurion in Matthew 8. Paul also incorporates the sexually charged term khresis in his letter to Philemon.",1
13,JenW doesn't believe that Evangelical churches mobilized against gay rights.  Hilarious.,JenW finds it amusing that Evangelical churches mobilized against gay rights.,1
14,"Not surprising in the least bit. Homosexuals are a special protected class.  They are afforded more protections then any other group of citizens in the US even when such protections pertaining to sexual acts clearly are a violation of the law. Reminds me of an article written a few years back entitled; ""What Homosexuals Won't Tell You: Exposing Common Falsehoods.""","It's completely expected. Homosexuals receive special protection as a group, with more rights than any other group in the US, even if some of these protections may go against the law. This situation brings to mind an article from a few years ago called ""What Homosexuals Won't Tell You: Exposing Common Falsehoods.""",1
15,"That gay persons are objectively disordered is an idea, an ideology. That gay love-relationships are intrinsically evil is a cruel lie ... and an idea, an assumption of an a priori allegedly self-evident ""truth"" which is anything but. Once catholic priests genuinely accompany gay persons, only then will the taboo collapse and the real truth emerge into the light of day ...","The belief that gay individuals are objectively disordered is merely an ideology, as is the idea that gay love-relationships are inherently evil. These notions are based on unfounded assumptions rather than actual truths. It is only when Catholic priests truly support and understand gay individuals that these harmful beliefs will be dispelled, allowing the true nature of love to be revealed.",1
16,"(cont'd.)
Also, there are folks who are bisexual, who are equally attracted to both genders sexually.  It's all part of nature, and very natural.  Sexuallity and gender identification are very-compicated matters, much more than you realize.","(cont'd.)
Additionally, there are individuals who are bisexual, finding themselves equally sexually attracted to both genders. It's simply a part of nature and completely natural. Sexuality and gender identity are complex subjects, far more intricate than one may initially understand.",1
17,"The biggest single tax avoidance issue is builders who either build or renovate a property and then live in it just long enough to claim it as a personal residence and pay no tax. The solution is to allow only one tax free transaction every 10 years. 
The second biggest issue is with non resident investors who simply do not file any tax paperwork at all even when they invest in pre-sale condos and then flip the  assignments at a profit - the solution is to get proper control over foreign property ownership and to implement a system where sales by foreigners are subject to CRA approval prior to the release of funds. 
The third problem is with those that cheat the system by investing through relatives or who simply do not report profits from the sales of investment and second homes. 
All three issues should be the focus of the CRA who spend far too much time chasing unimportant  issues and not enough focus on this problem which costs the country billions of dollars each year.","The primary tax avoidance concern involves builders who live in properties they build or renovate to avoid paying taxes. One potential solution is to only allow one tax-free transaction every 10 years. 

Another issue is non-resident investors who fail to file tax paperwork when flipping pre-sale condos for a profit. To address this, there should be better control over foreign property ownership and a system where sales by foreigners require approval from the CRA before funds are released. 

The third problem involves individuals cheating the system by using relatives to invest or not reporting profits from investment and second homes. 

The CRA should prioritize these issues, as they cost the country billions of dollars annually and are more significant than the current focus on less important matters.",1
18,"My conclusion is true. You loathe gays, and your loathing of them is a rejection of Christ, who told us to love.","I believe my conclusion is accurate. Your hatred towards homosexuals goes against the teachings of Christ, who instructed us to love one another.",1
19,"lol, if only racists, bigots, homophobes and islamaphobes were too afraid to open their mouths!  Alas, it seems instead they are too stupid to close them - at least in this here 'sissy' nation.","It's ironic that those who spread hate are the ones who never seem to stop talking in this supposedly ""weak"" country. It would be amusing if they were too scared to speak up.",0
20,"Most ""norms"" love Pope Francis.  My conservative (formerly Republican) parents love him, but they do tend to hold moderate positions on issues like gay marriage.  It seems like the malcontents are a very small minority within the Catholic world who have a very loud voice online.  They aren't ""confused"" about this.  They know exactly what Pope Francis is proposing and don't like it because they enjoy people who they think are ""inferior"" to them being excluded.  They are basically the parish bullies and gossips who use religion as a weapon against others.","The majority of ""norms"" admire Pope Francis, including my conservative (formerly Republican) parents who have moderate views on issues like gay marriage. It appears that the dissatisfied minority within the Catholic community, who are vocal online, understand Pope Francis' teachings but dislike them because they prefer to exclude those they consider ""inferior"". These individuals behave like parish bullies and gossips, using religion as a tool to attack others.",1
21,"Well, at last they had to go back to 2013 to find a picture of him looking like a little, sissy school girl. And while wearing a cowboy hat no less. Are those the gloves of a cowboy?  

I'm sure that if he had been wearing nice leather riding gloves, we would have never seen the picture.","Finally, they had to dig back to 2013 to uncover a picture of him looking like a delicate schoolgirl, complete with a cowboy hat. Are those really cowboy gloves? I bet if he had been sporting leather riding gloves, this photo would never have seen the light of day.",1
22,"I'm fine with law societies banning TWU grads because they attending a homophobic law school, but then I also hope the same law societies also ban any lawyer practicing Islam, Catholicism or other religion that preaches homophobia.","I support law societies banning TWU grads for attending a homophobic law school, but I believe they should also ban lawyers practicing Islam, Catholicism, or any other religion that promotes homophobia.",1
23,"I'm sure that Dolan across the river from NJ has gotten the message, big time!  We just found out what Papa Francesco thinks about Dolan paying hush money to survivors of sexual abuse and exploitation by priests.",I'm confident that Dolan on the other side of the river from NJ has received a clear message. We recently learned Papa Francesco's thoughts on Dolan's payment of hush money to survivors of sexual abuse and exploitation by priests.,1
24,"Sounds like he was forced out. Too bad as he is a very interesting, smart and articulate.
He is certainly not of the main stream as he is a staunch conservative who is also unabashedly gay.","It appears that he may have been compelled to leave, which is unfortunate because he is a highly intriguing, intelligent, and eloquent individual. He stands out from the crowd as a staunch conservative who is openly gay.",1
25,My theory is that anyone that thinks about homosexuals that much is closeted.,I believe that those who constantly think about homosexuals may be closeted themselves.,1
26,"Catholics  had been were taught that living morally was fulfilled by obeying the law, either the 10 Commandments--divine law or the commandments of the Church---ecclesial laws].  Thomist theology included the 'natural laws' that flowed from observation of the created order,  expressing the moral teaching of the Church on sex, contraception, homosexuality, and social justice.   Breaking that law made the action sinful, and the offender liable to a whole slew of punishments [which the Church drew from the Bible or from Natural Law], seen as appropriate punishments to curb bad behavior.
Catholic theology has moved from this legal model of understanding  moral life and sin.  The 'Crime and Punishment' view is deficient in many ways.  The demands of being a faithful follower of Jesus, living according to the vision and values of the gospel, challenge us in ways that can never be adequately prescribed by law.  The Bible is a record of God's graciousness to us, not a collection of do/don'ts.","In the past, Catholics were taught that living morally meant following either divine laws (like the 10 Commandments) or ecclesial laws set by the Church. Thomist theology also emphasized natural laws based on observation of the world, guiding teachings on sex, contraception, homosexuality, and social justice. Breaking these laws was seen as sinful and punishable according to biblical or natural law standards.

However, Catholic theology has since evolved from this legalistic approach to moral life and sin. The focus on 'Crime and Punishment' is now seen as limited. Being a faithful follower of Jesus requires a deeper understanding of the gospel's vision and values that cannot always be captured by laws. The Bible is seen as a testament to God's grace, rather than a strict rulebook.",1
27,"So the author's only solution is to tax more...?  Alberta should be praised for not adding yet another tax, not criticized.  Because 'everyone else' is doing it is a specious position. But then what do you expect from a writer who resides in the east.  The only gain that would come from a provincial sales tax would be more $$$ for politicians to spend.  Ludicrous to assume that a new tax revenue would only be applied to paying down the debt - another foolish argument for another tax.","The author seems to believe that the only solution is to increase taxes. Alberta should be commended for not implementing another tax, rather than criticized. Just because other provinces are doing it does not make it a valid argument. It is not surprising to hear this coming from a writer in the east. The only outcome of a provincial sales tax would be more money for politicians to spend. It is naive to think that the revenue from a new tax would only be used to reduce debt - another flawed argument for implementing a new tax.",1
28,Hope it's not what they call 'sensationalism'. That's bad if journalists or others who want to be recognized handle themselves in a bad way if it's true. I pray the REAL people that are trapped are rescued. That earthquake was a big one.,I hope this isn't being exaggerated for the sake of drama. It would be unfortunate if those seeking attention handle this situation inappropriately. My thoughts are with those who are truly in need of rescue. The earthquake was a significant event.,1
29,"This is Alaska. Say that to the wrong gay dude and turned inside-out. I knew a couple of roughnecks from Prudhoe some years ago either of whom could've hoisted-up by the throat with one hand the guy in the picture. Last I heard, they got married in California.","This is Alaska. If you say that to the wrong gay man, you might end up turned inside-out. I remember a couple of tough guys from Prudhoe a few years ago, either of whom could have easily lifted the guy in the picture by the throat with one hand. I heard they got married in California.",1
30,"Before all this came down the pipes, I figured if they didn't want the same sex marriage arrangement around, then the very least that should've been done is to update estate law.","Before all of this happened, I thought that if they were against same-sex marriage, the least they could have done is update estate laws.",1
31,"Notice that RD did not respond to what I wrote, but spews one of his Ad Hominems. That's because I interpreted him correctly, and RD hates it when I do that -- and cannot answer it. Oh, and if he doesn't know what ""homophobic"", he's even more ignorant than  I thought he was.

It means that you loathe gays, RD. As shown by your support of the equally homophobic ministers","RD avoided addressing my points and instead resorted to using an Ad Hominem attack. This reaction indicates that my interpretation of his stance is correct, and he is unable to defend it. If he does not understand the term ""homophobic"", it only proves his ignorance. It is clear that he harbors negative sentiments towards the LGBTQ+ community, as evidenced by his support of homophobic ministers.",1
32,"No supporting gay culture in our Church! In this merry and joyous Christmas season, we can start by putting ""The Nutcracker"" on the Index of prohibited things. And so much more!

They use both ""so-called"" and quotation marks. They forgot the [sic].

What a horrid and ghastly display of fear and rot.","In this joyful Christmas season, let's refrain from embracing gay culture in our Church by adding ""The Nutcracker"" to the Index of prohibited things. It's a truly appalling and disgraceful show of fear and decay.",1
33,"Homosexual people are not classified as ""intrinsically disordered"" or ""objectively evil"" by the Catholic Church. The desire, because it goes against God's created natural order, is judged disordered and acting on this desire is thus considered an objective evil because it is sinful. This says nothing about the individual person struggling with these tendencies.","The Catholic Church does not classify homosexual people as ""intrinsically disordered"" or ""objectively evil."" However, the desire is seen as going against God's natural order and therefore judged as disordered. Acting on this desire is considered an objective evil due to its sinful nature, but this does not reflect on the individual person dealing with these struggles.",1
34,"Hmmm.......rules meet protestors. Lets see; Kemano, War in the Woods, quite a few proposed mines lately (Fish Lake?), Killer whales at Vancouver Aquarium, Gay rights, Drug prohibition, MacKenzie Valley pipeline, a toxic waste dump that got the BC Greens gal elected last week,  or if you happen to hail from Ontario, then how about Caledonia and gas plants?  Even Oka or the Tsihquot'in decision.  What's the score so far? I put my money on the protestors winning. Even Pierre Trudeau's son won't call in the army to get a project done. That Kinder pipeline will never get built.","Hmm.....controversies between rules and protestors seem to be a recurring theme. From environmental issues like the War in the Woods and proposed mines to social issues like gay rights and drug prohibition, as well as political disputes like the MacKenzie Valley pipeline, the score seems to be in favor of the protestors. Even in cases like Caledonia and gas plants in Ontario, the protestors have come out on top. It doesn't seem likely that projects like the Kinder pipeline will ever be completed, especially with resistance from activists and politicians like Pierre Trudeau's son.",1
35,"""Scalia, who had been one of six Catholic members of the court, was often described as its most conservative voice and known for his strict interpretation of the Constitution's intent.""

Only when it suited him.","Scalia, one of only six Catholic members of the court, was frequently characterized as its most conservative voice and recognized for his strict adherence to the Constitution's original intent, although some argue he was selective in his interpretations.",1
36,Victim blaming.,Blaming the victim.,1
37,". This is not a hard call and I expect even Kennedy, who is the most pro-gay rights justice, will see it that way. As long as the opinion honors both facts, we can have our cake and eat it too.

The Janus v. AFSCME case is part of the right wing to do list. The Court should make easy work of it, but it won’t and the child of Ann Gorsuch is the deciding vote. This will certainly force unions into a different focus if it goes as it might. It is time to end opposition and Occupy Capitalism. Shifting education and street work to local employee-owned companies and converting the unions to a representative stockholder association is their best bet.

With respect to MSW, these cases are to be decided by the Constitution, not Catholic morality or even its social teachings.","The Janus v. AFSCME case is a key item on the right wing agenda. Despite being a seemingly straightforward decision, it may not be so easy due to the potential swing vote of Ann Gorsuch's child. If the outcome goes as expected, unions will need to adapt their focus. It may be time to embrace a shift towards local employee-owned companies and transform unions into representative stockholder associations. When it comes to MSW cases, decisions should be based on the Constitution, rather than Catholic morality or social teachings.",0
38,"Current state reflects actions or inactions of those who were the police commissioners these last 10 or 15 years, especially the one long time chair.","The current state is a result of the actions, or lack thereof, of the police commissioners over the past decade or so, with particular focus on the chairperson who has held the position for an extended period.",1
39,It's sad that this discussion of a new historic district & its implications turned into a R vs. D debate of unrelated topics like gay marriage & abortion.,It's unfortunate that the discussion about a new historic district and its implications devolved into a debate between political parties on unrelated topics such as gay marriage and abortion.,1
40,"You mean, of course, stating facts is completely proper. That you don't like said facts is simply too bad. You blow off my statement that you support arbitrary discrimination based on sexual preference. You are another who says ""You shall love your neighbor as yourself, unless that neighbor is gay. That neighbor you shall disdain."" That is your view, and, as I said, it is not Christian -- but then, you conservatives hold to a view of Christianity that is not actually Christian.","It's completely appropriate to state facts, even if you don't agree with them. Dismissing my statement about supporting discrimination based on sexual preference is disappointing. Your belief seems to contradict the idea of loving your neighbor, especially if your neighbor is gay. This view is not in line with true Christian values, as conservatives often have a skewed interpretation of Christianity.",1
41,"The ""compromise"" in Kentucky was that the state legislature passed a law and the governor signed it stating that clerk's signatures were no longer required on marriage licenses.
So, the whole state now has to conform so that the Kentucky clerk no longer has to sign a marriage license for those icky gay couples.","The compromise in Kentucky involved the state legislature passing a law, which was signed by the governor, stating that clerk's signatures were no longer necessary on marriage licenses. This means that all couples, including same-sex couples, are now treated equally under the law in Kentucky.",1
42,"Kudos for not turning this into a partisan political bun-fight, NA.  Harper, Martin and Cretien all had views different from Trudeau. 
But what are our laws if not a reflection of popular opinion? When they no longer reflect popular opinion they are challenged. For example, when three juries refused to convict Henry Morgentaler, it was a reflection of the fact that public opinion on the issue of abortion was changing. The law was thought to be unjust and it was changed. Similarly with laws related to homosexuality. People simply started to ignore them, so they were changed. Same with the issue of marijuana. Because something is written into law does not make it ""just"", even if the decision comes from the mouth of the Supreme Court itself.
People don't need to be told by lawyers what is right. There are many wacky legal decisions derived from the application of human rights legislation in a legal vacuum.  Rights must exist in balance with society's values, not in isolation from them.","I applaud the non-partisan approach taken by NA in discussing how laws are reflective of popular opinion. It's important to recognize that laws can be challenged when they no longer align with societal values, as seen in cases like Henry Morgentaler and issues related to homosexuality and marijuana. It's essential for rights to be balanced with society's values, rather than existing in isolation.",1
43,"The Cuomo response has been unfortunate, that as a Catholic he does not believe in abortion but will not vote to ban it or appoint justices who would because we live in a pluralist society.  Almost every pro-choice politician sings from his hymnbook. What all of these politicians should have said was that as attorneys, they have to follow the law and uphold federal superiority in equal protection matters, so Roe cannot be overturned and the matter cannot be sent to the states (and should not be if they could engineer the votes, given how poorly such a stance works in civil rights, gay rights and in dealing with slavery. Nationalists won the civil war and anyone who wishes to turn back this issue is a neo-Confederate traitor or a Republican partisan operative using this issue cynically, including the Bishops.","Cuomo's response as a Catholic who personally opposes abortion but believes in upholding federal law in a pluralistic society has sparked controversy. Many pro-choice politicians share his stance, arguing that Roe v. Wade should not be overturned and the issue should not be left to individual states. Critics suggest that those who wish to overturn this ruling are akin to neo-Confederate traitors or Republican operatives using the issue for political gain.",0
44,"Just because someone is LGBT does not give them anymore rights than anyone else in this world or gives them a free pass on the crimes they commit and this resolution if ever adopted would give them a get out of jail free card and anyone could claim that they were gay to avoid prosecution knowing that the courts could possible throw out the case against them on that bases alone and based upon that fact that this U.N ("" which is really a Moratorium"") hiding as a resolution could possibly tie the hands of any future prosecutor let alone and could reopen any past cases of people on death row now who could now simply say that they were gay at the time they committed their crime and are being unfairly treated or persecuted based on that fact alone.","Being LGBT does not grant someone special rights or immunity from committing crimes. If this resolution is adopted, it could potentially give individuals a way to avoid prosecution by falsely claiming to be gay. This could hamper future prosecutions and potentially reopen past cases of individuals on death row who claim they were unfairly treated because of their sexual orientation.",1
45,"Danno, you're in!  You too, Tom Doyle!  And thanks to both of you for speaking the Truth about Catholic clergy sex abuse, and doing your best to keep us all on course!","Danno and Tom Doyle, you're on board! Thank you both for bravely shining a spotlight on Catholic clergy sex abuse and guiding us forward on the right path.",1
46,"Spot on would mean they accepted Epigenetics on how people become gay and gastrulation as the start of life as an ensouled being.  Their fear of in vitro is also backward, to their objection that poor people cannot afford it, their response should be funding through insurance for everyone.","""Being spot on would mean accepting Epigenetics as a factor in sexual orientation and gastrulation as the beginning of ensoulment. Their fear of in vitro fertilization is outdated, and instead of arguing that it is unaffordable for some, they should advocate for insurance coverage for all.""",1
47,"Jewish is a religion, no?  It was asked in another section  I honestly don't get it.
If you're a Christian, from Poland, you would answer Polish in the one section, Christian in the other.
Or am I to assume Jews are Jewish and only Jewish?
That certainly does not correspond to my experience with others of the Jewish faith.","I don't understand why Jews are considered solely Jewish according to my experience with others of the Jewish faith. Isn't Judaism a religion, similar to being Polish or Christian?",1
48,"The majority of Oregon voters were not in favor of gay marriage.   What happened to 'States Rights' there?

 Gun rights are changing by State,  too.  I'm sure you will support these ""States' Rights"".

The new term is ""Constitutional Carry"".

""At least 11 states have passed laws allowing the concealed carry of guns without a permit, and 16 states have introduced legislation this year to do the same, according to the National Conference of State Legislatures and the National Rifle Association."" 

""Legislation is pending in states including Kentucky — where gun rights advocates expect it to pass — Texas, Colorado and Indiana.""","The majority of Oregon voters did not support gay marriage. What happened to 'States Rights' there?

Gun rights are also changing by state, and I'm sure you will support these ""States' Rights"" as well. The new term is ""Constitutional Carry.""

According to the National Conference of State Legislatures and the National Rifle Association, at least 11 states have passed laws allowing concealed carry of guns without a permit, and 16 states have introduced similar legislation this year.

Legislation is currently pending in states such as Kentucky, Texas, Colorado, and Indiana, where gun rights advocates expect it to pass.",0
49,"A story about a dying baby, and MSW makes it about Trump.

Looking forward to NCR's upcoming story on the bust of the Vatican gay orgy.","I can't wait to see NCR's coverage of the Vatican gay orgy bust, even though it's disappointing to see MSW try to shift the focus to Trump instead of the dying baby story.",1
